iter	R2	RMSE
674	0.9402387446	0.195664176
675	0.9402485348	0.1956481483
676	0.9402636103	0.1956234652
677	0.9402695581	0.1956137262
678	0.9402826922	0.1955922183
679	0.9403033194	0.1955584353
680	0.9403322845	0.1955109865
681	0.9403542241	0.1954750389
682	0.9403596944	0.195466075
683	0.9403715645	0.1954466222
684	0.9403968667	0.1954051509
685	0.9404107034	0.1953824682
686	0.9404223478	0.1953633773
687	0.9404387886	0.1953364196
688	0.9404454356	0.1953255195
689	0.9404484503	0.1953205758
690	0.9404647636	0.1952938213
691	0.9404750768	0.1952769053
692	0.9404849553	0.1952607011
693	0.9404961338	0.1952423626
694	0.9405125111	0.1952154924
695	0.9405213311	0.1952010198
696	0.940533869	0.1951804449
697	0.9405497985	0.1951543012
698	0.940565694	0.1951282097
699	0.9405878229	0.1950918807
700	0.9406007278	0.1950706917
701	0.940623496	0.195033302
702	0.9406465717	0.1949954002
703	0.9406552566	0.1949811333
704	0.9406723408	0.1949530655
705	0.9406783099	0.194943258
706	0.9406973728	0.1949119332
707	0.9407136808	0.1948851312
708	0.9407312037	0.1948563286
709	0.9407426424	0.1948375244
710	0.9407509676	0.1948238374
711	0.9407659614	0.1947991843
712	0.9407765663	0.1947817458
713	0.9407820336	0.1947727547
714	0.9408069178	0.1947318273
715	0.9408222136	0.1947066658
716	0.940836662	0.1946828953
717	0.9408596776	0.1946450242
718	0.9408730031	0.1946230942
719	0.940883929	0.1946051114
720	0.940901291	0.1945765321
721	0.940931194	0.1945272997
722	0.940941262	0.1945107208
723	0.9409664465	0.1944692436
724	0.9409727999	0.1944587786
725	0.9409924935	0.1944263368
726	0.9410120024	0.1943941937
727	0.9410208709	0.1943795801
728	0.9410309442	0.1943629799
729	0.9410438651	0.194341685
730	0.9410676527	0.1943024746
731	0.9410906987	0.1942644791
732	0.9410981617	0.1942521734
733	0.9411040176	0.1942425171
734	0.9411194097	0.1942171334
735	0.9411322143	0.1941960143
736	0.9411488516	0.1941685704
737	0.9411710415	0.1941319612
738	0.9411823663	0.1941132747
